number,linux_name,linux_abi,linux_entry,leonos_status,leonos_dispatch_macro,leonos_dispatch_file,leonos_dispatch_line,verification_scope,verification_evidence
0,read,common,sys_read,routed_not_certified,LINUX_SYS_READ,kernel/ntclks/syscall.c,3069,partial_guest,"Unix vector packet/stream semantics, zero/count errors, SIGPIPE and original OFD retention during read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; generic vector/pipe/device errors and lifecycle remain in ledger; SCM_RIGHTS stream barriers across plain data, peek/waitall and partial receive PASS: build/musl/scm-boundaries-after-serial.log; Linux v6.12 reference PASS; full resources/fragmentation remain; proc status PID/TGID/UID/GID/VmRSS subset PASS: build/musl/proc-status-after-serial.log; full procfs schema/access/lifecycle remain"
1,write,common,sys_write,routed_not_certified,LINUX_SYS_WRITE,kernel/ntclks/syscall.c,2954,partial_guest,"Unix vector packet/stream semantics, zero/count errors, SIGPIPE and original OFD retention during read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; generic vector/pipe/device errors and lifecycle remain in ledger"
2,open,common,sys_open,routed_not_certified,LINUX_SYS_OPEN,kernel/ntclks/syscall.c,3244,partial_guest,"Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger; proc status PID/TGID/UID/GID/VmRSS subset PASS: build/musl/proc-status-after-serial.log; full procfs schema/access/lifecycle remain"
3,close,common,sys_close,routed_not_certified,LINUX_SYS_CLOSE,kernel/ntclks/syscall.c,3430,partial_guest,"Shared OFD/SCM ownership, blocked Unix fd reuse and unread-data peer ECONNRESET PASS: build/musl/fd-boundaries-after-serial.log; ordinary inode lifetime, PTY/INET and other blocking operations outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
4,stat,common,sys_newstat,routed_not_certified,LINUX_SYS_STAT,kernel/ntclks/syscall.c,3645,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
5,fstat,common,sys_newfstat,routed_not_certified,LINUX_SYS_FSTAT,kernel/ntclks/syscall.c,3699,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
6,lstat,common,sys_newlstat,implemented_pending_runtime,LINUX_SYS_LSTAT,kernel/ntclks/syscall.c,3645,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
7,poll,common,sys_poll,routed_not_certified,LINUX_SYS_POLL,kernel/ntclks/syscall.c,2893,partial_guest,"Native 32-bit count/timeout, infinite wait/EINTR, writable revents, EOF/access-mode readiness, NVAL and Unix shutdown masks PASS: build/musl/fd-boundaries-after-serial.log; Linux 6.12 reference PASS; stop/restart, full device readiness and atomic ppoll/pselect/epoll outstanding"
8,lseek,common,sys_lseek,routed_not_certified,LINUX_SYS_LSEEK,kernel/ntclks/syscall.c,3868,partial_guest,"Shared OFD offsets/status, SCM references and Unix read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; fcntl01 exit 0: build/musl/namespace-ltp-serial.log; inode lifetime, PTY/INET and other blocking operations outstanding"
9,mmap,common,sys_mmap,routed_not_certified,LINUX_SYS_MMAP,kernel/ntclks/syscall.c,4191,partial_guest,Guest PROT_NONE/private/shared anonymous mappings retain data across fork; shared file writeback and 256 MiB VA limit remain
10,mprotect,common,sys_mprotect,routed_not_certified,LINUX_SYS_MPROTECT,kernel/ntclks/syscall.c,4198,partial_guest,Guest protection/data tests PASS; LTP mprotect01 three TPASS and exit 0: build/musl/namespace-ltp-serial.log; cross-VMA and SMP contracts outstanding
11,munmap,common,sys_munmap,routed_not_certified,LINUX_SYS_MUNMAP,kernel/ntclks/syscall.c,4195,partial_guest,Guest anonymous unmap and host page-reference fixtures pass; broader unmap coverage pending
12,brk,common,sys_brk,implemented_pending_runtime,LINUX_SYS_BRK,kernel/ntclks/syscall.c,4310,partial_guest,Raw brk query/grow/shrink and failure-boundary behavior PASS in build/musl/abi-probes-qemu-20260908-11.log for static and dynamic musl; full heap/VMA/RLIMIT interaction stress remains
13,rt_sigaction,64,sys_rt_sigaction,routed_not_certified,LINUX_SYS_RT_SIGACTION,kernel/ntclks/syscall.c,2879,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
14,rt_sigprocmask,common,sys_rt_sigprocmask,routed_not_certified,LINUX_SYS_RT_SIGPROCMASK,kernel/ntclks/syscall.c,2879,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
15,rt_sigreturn,64,sys_rt_sigreturn,routed_not_certified,LINUX_SYS_RT_SIGRETURN,kernel/ntclks/syscall.c,4576,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
16,ioctl,64,sys_ioctl,routed_not_certified,LINUX_SYS_IOCTL,kernel/ntclks/syscall.c,4223,partial_guest,"Native termios and Unix FIONREAD (stream/seqpacket total vs datagram first packet), FIONBIO shared OFD/EFAULT PASS: build/musl/fd-boundaries-after-serial.log; remaining socket/device ioctls outstanding; unsigned-int request truncation (sign-extended TIOCGPTN), TIOCSCTTY leader/session permission and musl forkpty PASS: build/musl/session-notify-probes-serial.log; full PTY control/lock/hangup remain"
17,pread64,common,sys_pread64,implemented_pending_runtime,LINUX_SYS_PREAD64,kernel/ntclks/syscall.c,3771,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
18,pwrite64,common,sys_pwrite64,implemented_pending_runtime,LINUX_SYS_PWRITE64,kernel/ntclks/syscall.c,3771,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
19,readv,64,sys_readv,implemented_pending_runtime,LINUX_SYS_READV,kernel/ntclks/syscall.c,3785,partial_guest,"Unix vector packet/stream semantics, zero/count errors, SIGPIPE and original OFD retention during read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; generic vector/pipe/device errors and lifecycle remain in ledger; SCM_RIGHTS stream barriers across plain data, peek/waitall and partial receive PASS: build/musl/scm-boundaries-after-serial.log; Linux v6.12 reference PASS; full resources/fragmentation remain"
20,writev,64,sys_writev,implemented_pending_runtime,LINUX_SYS_WRITEV,kernel/ntclks/syscall.c,3785,partial_guest,"Unix vector packet/stream semantics, zero/count errors, SIGPIPE and original OFD retention during read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; generic vector/pipe/device errors and lifecycle remain in ledger"
21,access,common,sys_access,implemented_pending_runtime,LINUX_SYS_ACCESS,kernel/ntclks/syscall.c,3720,partial_host,Real/effective ID distinction and traversal checked in kernel host fixture; exhaustive raw access guest matrix pending
22,pipe,common,sys_pipe,routed_not_certified,LINUX_SYS_PIPE,kernel/ntclks/syscall.c,3422,partial_guest,"See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
23,select,common,sys_select,implemented_pending_runtime,LINUX_SYS_SELECT,kernel/ntclks/syscall.c,3077,partial_guest,Raw Linux fd_set/timeval translation and regular-file readiness PASS in build/musl/abi-probes-qemu-20260908-12.log for static and dynamic musl; exact remaining-time updates and full fd-set limits remain
24,sched_yield,common,sys_sched_yield,routed_not_certified,LINUX_SYS_SCHED_YIELD,kernel/ntclks/syscall.c,4158,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
25,mremap,common,sys_mremap,implemented_pending_runtime,LINUX_SYS_MREMAP,kernel/ntclks/syscall_mm.c,988,partial_guest,"Anonymous VMA shrink, in-place growth and MAYMOVE relocation preserve data in static/dynamic musl build/musl/abi-probes-qemu-20260909-20.log; file/device mappings and overlapping FIXED targets remain unsupported"
26,msync,common,sys_msync,implemented_pending_runtime,LINUX_SYS_MSYNC,kernel/ntclks/syscall.c,2956,partial_guest,Raw anonymous mapping validation and MS_SYNC/MS_ASYNC error contract PASS in build/musl/abi-probes-qemu-20260908-11.log for static and dynamic musl; file-backed writeback remains unsupported
27,mincore,common,sys_mincore,implemented_pending_runtime,LINUX_SYS_MINCORE,kernel/ntclks/syscall.c,2959,partial_guest,Raw page residency and writable-vector validation PASS in build/musl/abi-probes-qemu-20260908-11.log for static and dynamic musl; complete shared/file residency semantics remain
28,madvise,common,sys_madvise,implemented_pending_runtime,LINUX_SYS_MADVISE,kernel/ntclks/syscall.c,2962,partial_guest,Raw MADV_NORMAL validation PASS in build/musl/abi-probes-qemu-20260908-11.log for static and dynamic musl; unsupported advice remains explicit EOPNOTSUPP
29,shmget,common,sys_shmget,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
30,shmat,common,sys_shmat,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
31,shmctl,common,sys_shmctl,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
32,dup,common,sys_dup,routed_not_certified,LINUX_SYS_DUP,kernel/ntclks/syscall.c,3523,partial_guest,"Shared OFD offsets/status, SCM references and Unix read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; fcntl01 exit 0: build/musl/namespace-ltp-serial.log; inode lifetime, PTY/INET and other blocking operations outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
33,dup2,common,sys_dup2,routed_not_certified,LINUX_SYS_DUP2,kernel/ntclks/syscall.c,3523,partial_guest,"Shared OFD offsets/status, SCM references and Unix read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; fcntl01 exit 0: build/musl/namespace-ltp-serial.log; inode lifetime, PTY/INET and other blocking operations outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
34,pause,common,sys_pause,implemented_pending_runtime,LINUX_SYS_PAUSE,kernel/ntclks/syscall.c,2889,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
35,nanosleep,common,sys_nanosleep,routed_not_certified,LINUX_SYS_NANOSLEEP,kernel/ntclks/syscall.c,4163,partial_guest,"Actual deadline/timespec/remaining-copy sanitizer fixtures and static/dynamic musl timed interruption PASS: build/musl/namespace-probes-serial.log; reference Linux 6.12 cases PASS; CPU clocks, timers, clock adjustment and complete stop/restart semantics outstanding"
36,getitimer,common,sys_getitimer,implemented_pending_runtime,LINUX_SYS_GETITIMER,kernel/ntclks/syscall.c,4171,partial_guest,"Native ITIMER_REAL, EINVAL/EFAULT, set-before-output-fault, periodic rearm, process SIGALRM, fork exclusion and exec preservation PASS: build/musl/fd-boundaries-after-serial.log and build/musl/ioctl-linux-reference-serial.log; CPU/profiling timers and full precision/limits outstanding"
37,alarm,common,sys_alarm,implemented_pending_runtime,LINUX_SYS_ALARM,kernel/ntclks/syscall.c,4167,partial_guest,"Native ITIMER_REAL, EINVAL/EFAULT, set-before-output-fault, periodic rearm, process SIGALRM, fork exclusion and exec preservation PASS: build/musl/fd-boundaries-after-serial.log and build/musl/ioctl-linux-reference-serial.log; CPU/profiling timers and full precision/limits outstanding"
38,setitimer,common,sys_setitimer,implemented_pending_runtime,LINUX_SYS_SETITIMER,kernel/ntclks/syscall.c,4171,partial_guest,"Native ITIMER_REAL, EINVAL/EFAULT, set-before-output-fault, periodic rearm, process SIGALRM, fork exclusion and exec preservation PASS: build/musl/fd-boundaries-after-serial.log and build/musl/ioctl-linux-reference-serial.log; CPU/profiling timers and full precision/limits outstanding"
39,getpid,common,sys_getpid,routed_not_certified,LINUX_SYS_GETPID,kernel/ntclks/syscall.c,4146,partial_guest,"Static/dynamic musl thread contention, robust owner death, lifecycle, timed interruption and worker exec PASS: build/musl/namespace-probes-serial.log; six upstream Open POSIX pthread cases exit 0: build/musl/namespace-ltp-serial.log; reference Linux 6.12 tests PASS; LeonOS BSP only, PI/clone3 and complete restart semantics outstanding"
40,sendfile,common,sys_sendfile,implemented_pending_runtime,LINUX_SYS_SENDFILE,kernel/ntclks/syscall.c,4325,partial_guest,"Static and dynamic musl poll_files/sendfile probe PASS: build/musl/abi-probes-qemu-20260909-7.log; regular-file input with regular-file/pipe/socket output and explicit input offset are covered; splice/device output, signal/restart and full fd lifecycle remain"
41,socket,common,sys_socket,routed_not_certified,LINUX_SYS_SOCKET,kernel/ntclks/syscall.c,2859,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
